game,income,expenses_accepted,lawyer_count,lawyer_total,expenses,net
1,19704.0,1127.0900000000001,13,5075.055,6202.145,13501.855
2,5088.0,600.94,6,3765.48,4366.42,721.5799999999995
3,0.0,0.0,0,0.0,0.0,0.0
4,13935.029999999995,6238.28,6,4176.525,10414.805,3520.224999999996
5,9075.0,19449.929999999997,1,229.5,19679.429999999997,-10604.429999999997
6,1035.0,0.0,6,4975.035,4975.035,-3940.035
7,0.0,33568.400000000016,0,0.0,33568.400000000016,-33568.400000000016
8,3429.0,83503.06000000007,0,0.0,83503.06000000007,-80074.06000000007
9,750.0,17334.07,14,4812.764999999999,22146.835,-21396.835
10,5300.0,0.0,25,65806.035,65806.035,-60506.035
