game,income,expenses_accepted,lawyer_count,lawyer_total,expenses,net
1,19704.0,1127.0900000000001,13,5075.055,6202.145,13501.855
2,5088.0,600.94,6,3765.48,4366.42,721.5799999999995
3,0.0,0.0,0,0.0,0.0,0.0
4,13935.029999999995,6238.28,6,4176.525,10414.805,3520.224999999996
5,9075.0,19449.929999999997,1,229.5,19679.429999999997,-10604.429999999997
6,1035.0,0.0,6,4975.035,4975.035,-3940.035
7,0.0,33568.400000000016,0,0.0,33568.400000000016,-33568.400000000016
8,3429.0,83503.06000000007,0,0.0,83503.06000000007,-80074.06000000007
9,750.0,17334.07,14,4812.764999999999,22146.835,-21396.835
10,5300.0,0.0,25,65806.035,65806.035,-60506.035
11,0.0,0.0,145,36016.634999999995,36016.634999999995,-36016.634999999995
12,0.0,0.0,92,43380.88500000001,43380.88500000001,-43380.88500000001
13,16800.0,3554.8700000000013,55,15851.714999999998,19406.585,-2606.584999999999
14,450.0,2373.97,7,675.525,3049.495,-2599.495
15,17200.0,21055.51999999999,56,14946.435000000001,36001.95499999999,-18801.95499999999
16,0.0,4721.32,0,0.0,4721.32,-4721.32
17,20580.0,70736.09000000001,34,13633.154999999997,84369.24500000001,-63789.24500000001
18,14469.0,418.53000000000003,98,51132.16499999997,51550.69499999997,-37081.69499999997
19,54617.5,57.74,44,20151.660000000003,20209.400000000005,34408.1
20,38202.5,51.13,25,25386.75,25437.88,12764.620000000003
21,3080.0,0.0,0,0.0,0.0,3080.0
22,14840.0,0.0,0,0.0,0.0,14840.0
23,4727.5,0.0,25,5548.094999999998,5548.094999999998,-820.5949999999984
24,53745.0,0.0,76,40732.18499999999,40732.18499999999,13012.81500000001
25,47864.320000000014,7928.449999999999,124,38471.82000000001,46400.270000000004,1464.0500000000102
26,21306.93000000002,1196.11,84,24041.145,25237.255,-3930.3249999999825
27,21861.059999999994,1876.8600000000001,2,8633.07,10509.93,11351.129999999994
