game,items,t = 0 items (derived),Bin busy said fraud (b = 0),of which really t = 0,top 3 said fraud (avg),top 5 said fraud (avg)
1,18,3/18,4/18,1/4,1.0/3,1.9/5
2,7,5/7,5/7,5/5,2.4/3,3.3/5
3,2,2/2,2/2,2/2,3.0/3,4.0/5
4,15,11/15,11/15,11/11,2.3/3,3.2/5
5,17,4/17,0/17,-,1.8/3,2.6/5
6,2,1/2,2/2,1/2,2.0/3,3.5/5
7,6,2/6,0/6,-,0.3/3,1.0/5
8,39,9/39,3/39,3/3,1.0/3,1.2/5
9,16,11/16,7/16,7/7,1.6/3,2.4/5
10,6,4/6,6/6,4/6,2.0/3,3.7/5
11,22,4/22,22/22,4/22,2.5/3,3.8/5
12,12,0/12,12/12,0/12,0.2/3,1.2/5
13,17,4/17,3/17,3/3,1.0/3,1.7/5
14,13,10/13,0/13,-,2.8/3,3.8/5
15,29,3/29,4/29,1/4,1.8/3,2.6/5
16,2,2/2,0/2,-,3.0/3,4.0/5
17,20,3/20,1/20,1/1,1.0/3,1.4/5
18,14,5/14,8/14,1/8,1.9/3,2.7/5
19,9,1/9,8/9,1/8,1.1/3,2.1/5
20,6,3/6,5/6,2/5,1.8/3,3.7/5
21,2,2/2,2/2,2/2,0.0/3,1.0/5
22,1,1/1,1/1,1/1,1.0/3,3.0/5
23,3,0/3,3/3,0/3,1.0/3,2.0/5
24,11,1/11,11/11,1/11,0.9/3,2.4/5
25,15,1/15,8/15,0/8,1.1/3,2.0/5
26,12,2/12,5/12,2/5,0.8/3,1.7/5
27,4,3/4,3/4,3/3,2.2/3,4.0/5
28,10,10/10,7/10,7/7,3.0/3,4.7/5
29,4,2/4,2/4,1/2,0.2/3,0.8/5
30,5,0/5,2/5,0/2,0.2/3,0.6/5
31,18,4/18,9/18,2/9,1.1/3,1.9/5
32,7,5/7,6/7,5/6,2.3/3,3.9/5
33,6,2/6,0/6,-,0.5/3,1.2/5
34,25,5/25,7/25,4/7,0.9/3,1.8/5
35,20,4/20,9/20,2/9,1.1/3,1.9/5
36,10,9/10,9/10,9/9,2.7/3,4.5/5
37,17,4/17,4/17,2/4,0.5/3,1.1/5
38,4,0/4,1/4,0/1,0.2/3,1.0/5
39,3,0/3,2/3,0/2,1.3/3,2.3/5
40,13,0/13,1/13,0/1,0.4/3,0.9/5
41,4,3/4,3/4,3/3,2.2/3,4.0/5
42,17,4/17,6/17,4/6,0.8/3,1.4/5
43,4,1/4,1/4,1/1,0.8/3,1.2/5
44,11,8/11,8/11,7/8,1.9/3,3.3/5
45,18,1/18,5/18,1/5,0.4/3,1.0/5
46,31,1/31,5/31,1/5,0.4/3,0.7/5
47,17,5/17,5/17,4/5,0.8/3,1.2/5
48,27,10/27,11/27,10/11,1.2/3,2.1/5
49,19,5/19,4/19,1/4,1.0/3,1.8/5
50,16,2/16,1/16,0/1,0.4/3,0.9/5
51,6,0/6,0/6,-,0.3/3,0.5/5
52,2,1/2,1/2,1/1,1.0/3,2.0/5
53,2,0/2,1/2,0/1,0.0/3,0.5/5
54,11,6/11,6/11,6/6,1.7/3,3.2/5
55,1,0/1,0/1,-,0.0/3,0.0/5
56,4,2/4,2/4,2/2,1.5/3,2.5/5
57,13,6/13,0/13,-,0.1/3,0.3/5
58,9,6/9,5/9,5/5,1.1/3,2.2/5
59,9,2/9,2/9,2/2,0.7/3,1.6/5
60,11,8/11,8/11,8/8,1.5/3,2.9/5
61,15,3/15,7/15,3/7,0.9/3,1.5/5
62,10,2/10,10/10,2/10,2.1/3,4.0/5
63,4,4/4,0/4,-,1.0/3,2.0/5
64,3,0/3,0/3,-,0.0/3,1.0/5
65,16,11/16,9/16,9/9,1.7/3,3.0/5
66,2,0/2,0/2,-,0.0/3,0.5/5
67,10,5/10,3/10,3/3,0.9/3,1.8/5
68,11,3/11,5/11,3/5,1.0/3,1.6/5
69,8,4/8,5/8,4/5,1.6/3,2.9/5
70,1,0/1,0/1,-,0.0/3,0.0/5
71,18,9/18,10/18,8/10,1.6/3,2.6/5
72,8,0/8,0/8,-,0.0/3,0.1/5
73,17,3/17,5/17,3/5,0.8/3,1.2/5
74,31,7/31,26/31,7/26,2.3/3,4.1/5
75,18,6/18,6/18,6/6,1.6/3,2.2/5
76,17,3/17,5/17,3/5,0.8/3,1.2/5
77,16,12/16,10/16,10/10,2.1/3,3.4/5
78,22,8/22,17/22,7/17,1.4/3,3.2/5
79,1,0/1,0/1,-,0.0/3,0.0/5
80,12,3/12,7/12,3/7,1.1/3,2.2/5
81,4,2/4,2/4,2/2,1.5/3,2.5/5
82,32,4/32,4/32,2/4,0.8/3,1.1/5
83,7,2/7,3/7,0/3,0.9/3,1.7/5
84,13,5/13,5/13,4/5,0.9/3,1.8/5
85,2,0/2,1/2,0/1,0.0/3,0.5/5
86,11,7/11,1/11,0/1,1.6/3,2.4/5
87,7,2/7,2/7,0/2,0.7/3,1.4/5
