game,items,t = 0 items (derived),Bin busy said fraud (b = 0),of which really t = 0,top 3 said fraud (avg),top 5 said fraud (avg)
1,18,3/18,4/18,1/4,1.4/3,2.8/5
2,7,5/7,5/7,5/5,1.9/3,3.9/5
3,2,2/2,2/2,2/2,2.0/3,4.0/5
4,15,11/15,11/15,11/11,1.9/3,3.6/5
5,17,4/17,0/17,-,2.2/3,2.2/5
6,2,1/2,2/2,1/2,2.0/3,3.0/5
7,6,2/6,0/6,-,0.7/3,1.7/5
8,39,9/39,3/39,3/3,0.8/3,1.2/5
9,16,11/16,7/16,7/7,1.4/3,2.8/5
10,6,4/6,6/6,4/6,2.0/3,3.5/5
11,22,4/22,22/22,4/22,1.8/3,2.9/5
12,12,0/12,12/12,0/12,0.1/3,0.8/5
13,17,4/17,3/17,3/3,1.3/3,1.8/5
14,13,10/13,0/13,-,2.8/3,4.6/5
15,29,3/29,4/29,1/4,1.9/3,3.1/5
16,2,2/2,0/2,-,3.0/3,5.0/5
17,20,3/20,1/20,1/1,1.1/3,1.7/5
18,14,5/14,8/14,1/8,1.7/3,2.5/5
19,9,1/9,8/9,1/8,1.0/3,2.3/5
20,6,3/6,5/6,2/5,2.3/3,3.3/5
21,2,2/2,2/2,2/2,0.0/3,1.0/5
22,1,1/1,1/1,1/1,1.0/3,1.0/5
23,3,0/3,3/3,0/3,1.0/3,1.0/5
24,11,1/11,11/11,1/11,1.0/3,1.4/5
25,15,1/15,8/15,0/8,1.2/3,1.6/5
26,12,2/12,5/12,2/5,1.2/3,1.7/5
27,4,3/4,3/4,3/3,2.5/3,4.0/5
28,10,10/10,7/10,7/7,3.0/3,5.0/5
29,4,2/4,2/4,1/2,0.2/3,0.2/5
30,5,0/5,2/5,0/2,0.2/3,0.4/5
31,18,4/18,9/18,2/9,1.1/3,1.6/5
32,7,5/7,6/7,5/6,2.3/3,3.7/5
33,6,2/6,0/6,-,1.2/3,1.8/5
34,25,5/25,7/25,4/7,1.3/3,1.6/5
